RR aim at enemy optimized

measurement without profiler: 268.6 us
profiler overhead: 70 us

self=1.0 (1.0) us, cum=338.3 (338.3) us, calls=1                           src\mod_wot_profiler.py:84 profilerCall()
  self=5.0 (5.0) us, cum=337.3 (337.3) us, calls=1                           src\responsive_reticle\hooks\vehicle_gun_rotator_hooks.py:29 __onTick()
    self=12.7 (12.7) us, cum=291.4 (291.4) us, calls=1                         scripts/client/VehicleGunRotator.py:507 __onTick()
      self=2.4 (2.4) us, cum=145.0 (145.0) us, calls=1                           scripts/client/VehicleGunRotator.py:503 updateRotationAndGunMarker()
        self=13.9 (13.9) us, cum=75.7 (75.7) us, calls=1                           src\responsive_reticle\hooks\vehicle_gun_rotator_hooks.py:90 __rotate()
          self=5.4 (5.4) us, cum=12.7 (12.7) us, calls=1                             src\responsive_reticle\hooks\vehicle_gun_rotator_hooks.py:284 __updateTurretMatrix()
            self=9.9 (5.0) us, cum=9.9 (5.0) us, calls=2                               scripts/client/VehicleGunRotator.py:1269 update()
            self=2.6 (0.9) us, cum=2.6 (0.9) us, calls=3                               scripts/client/VehicleGunRotator.py:1247 __getTurretStaticYaw()
            self=0.7 (0.1) us, cum=0.7 (0.1) us, calls=7                               ~:0 <built-in method time>()
            self=0.6 (0.3) us, cum=0.6 (0.3) us, calls=2                               ~:0 <built-in method setRotateY>()
          self=5.0 (5.0) us, cum=11.6 (11.6) us, calls=1                             scripts/client/VehicleGunRotator.py:743 getNextTurretYaw()
            self=2.3 (2.3) us, cum=3.4 (3.4) us, calls=1                               scripts/client/VehicleGunRotator.py:873 __getTurretYawWithSpeedLimit()
              self=0.7 (0.7) us, cum=0.7 (0.7) us, calls=1                               ~:0 <min>()
              self=0.4 (0.4) us, cum=0.4 (0.4) us, calls=1                               ~:0 <math.fmod>()
            self=2.4 (0.6) us, cum=3.0 (0.8) us, calls=4                               scripts/client/BattleReplay.py:241 <lambda>()
              self=0.6 (0.1) us, cum=0.6 (0.1) us, calls=4                               ~:0 <built-in method isPlaying>()
            self=1.3 (1.3) us, cum=1.4 (1.4) us, calls=1                               scripts/client/VehicleGunRotator.py:809 __getRotationWays()
              self=0.2 (0.1) us, cum=0.2 (0.1) us, calls=3                               ~:0 <abs>()
            self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=3                               ~:0 <math.fabs>()
            self=0.5 (0.5) us, cum=0.5 (0.5) us, calls=1                               scripts/client/VehicleGunRotator.py:828 __isOutOfLimits()
            self=0.2 (0.2) us, cum=0.2 (0.2) us, calls=1                               scripts/client/VehicleGunRotator.py:850 __applyTurretYawLimits()
          self=5.5 (5.5) us, cum=11.1 (11.1) us, calls=1                             src\responsive_reticle\hooks\vehicle_gun_rotator_hooks.py:315 __updateGunMatrix()
            self=9.9 (5.0) us, cum=9.9 (5.0) us, calls=2                               scripts/client/VehicleGunRotator.py:1269 update()
            self=1.6 (0.8) us, cum=1.6 (0.8) us, calls=2                               scripts/client/VehicleGunRotator.py:1208 __getGunStaticPitch()
            self=1.1 (0.2) us, cum=1.1 (0.2) us, calls=5                               src\responsive_reticle\hooks\avatar_hooks.py:37 getVehicleDescriptor()
            self=0.8 (0.8) us, cum=0.8 (0.8) us, calls=1                               scripts/common/gun_rotation_shared.py:29 calcGunPitchCorrection()
              self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=3                               ~:0 <math.fabs>()
            self=0.7 (0.1) us, cum=0.7 (0.1) us, calls=7                               ~:0 <built-in method time>()
            self=0.3 (0.1) us, cum=0.3 (0.1) us, calls=2                               ~:0 <built-in method setRotateX>()
          self=5.0 (5.0) us, cum=7.5 (7.5) us, calls=1                               scripts/common/projectile_trajectory.py:80 getShotAngles()
            self=2.1 (2.1) us, cum=2.1 (2.1) us, calls=1                               ~:0 <built-in method getAimingAngles>()
