RR aim at terrain optimized

measurement without profiler: 235.2 us
profiler overhead: 50 us

self=1.3 (1.3) us, cum=283.8 (283.8) us, calls=1                           src\mod_wot_profiler.py:84 profilerCall()
  self=6.4 (6.4) us, cum=282.5 (282.5) us, calls=1                           src\responsive_reticle\hooks\vehicle_gun_rotator_hooks.py:29 __onTick()
    self=12.0 (12.0) us, cum=237.9 (237.9) us, calls=1                         scripts/client/VehicleGunRotator.py:507 __onTick()
      self=2.4 (2.4) us, cum=139.3 (139.3) us, calls=1                           scripts/client/VehicleGunRotator.py:503 updateRotationAndGunMarker()
        self=14.5 (14.5) us, cum=72.9 (72.9) us, calls=1                           src\responsive_reticle\hooks\vehicle_gun_rotator_hooks.py:90 __rotate()
          self=5.7 (5.7) us, cum=13.0 (13.0) us, calls=1                             src\responsive_reticle\hooks\vehicle_gun_rotator_hooks.py:284 __updateTurretMatrix()
            self=8.1 (4.0) us, cum=8.1 (4.0) us, calls=2                               scripts/client/VehicleGunRotator.py:1269 update()
            self=2.7 (0.9) us, cum=2.7 (0.9) us, calls=3                               scripts/client/VehicleGunRotator.py:1247 __getTurretStaticYaw()
            self=0.9 (0.1) us, cum=0.9 (0.1) us, calls=7                               ~:0 <built-in method time>()
            self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               ~:0 <built-in method setRotateY>()
          self=6.3 (6.3) us, cum=12.5 (12.5) us, calls=1                             scripts/client/VehicleGunRotator.py:743 getNextTurretYaw()
            self=2.1 (2.1) us, cum=3.5 (3.5) us, calls=1                               scripts/client/VehicleGunRotator.py:873 __getTurretYawWithSpeedLimit()
              self=0.9 (0.9) us, cum=0.9 (0.9) us, calls=1                               ~:0 <min>()
              self=0.5 (0.5) us, cum=0.5 (0.5) us, calls=1                               ~:0 <math.fmod>()
            self=2.1 (0.5) us, cum=2.8 (0.7) us, calls=4                               scripts/client/BattleReplay.py:241 <lambda>()
              self=0.7 (0.2) us, cum=0.7 (0.2) us, calls=4                               ~:0 <built-in method isPlaying>()
            self=1.1 (1.1) us, cum=1.3 (1.3) us, calls=1                               scripts/client/VehicleGunRotator.py:809 __getRotationWays()
              self=0.3 (0.1) us, cum=0.3 (0.1) us, calls=3                               ~:0 <abs>()
            self=0.6 (0.2) us, cum=0.6 (0.2) us, calls=3                               ~:0 <math.fabs>()
            self=0.4 (0.4) us, cum=0.4 (0.4) us, calls=1                               scripts/client/VehicleGunRotator.py:828 __isOutOfLimits()
            self=0.1 (0.1) us, cum=0.1 (0.1) us, calls=1                               scripts/client/VehicleGunRotator.py:850 __applyTurretYawLimits()
          self=5.4 (5.4) us, cum=9.2 (9.2) us, calls=1                               src\responsive_reticle\hooks\vehicle_gun_rotator_hooks.py:315 __updateGunMatrix()
            self=8.1 (4.0) us, cum=8.1 (4.0) us, calls=2                               scripts/client/VehicleGunRotator.py:1269 update()
            self=1.4 (0.7) us, cum=1.4 (0.7) us, calls=2                               scripts/client/VehicleGunRotator.py:1208 __getGunStaticPitch()
            self=1.0 (0.2) us, cum=1.0 (0.2) us, calls=5                               src\responsive_reticle\hooks\avatar_hooks.py:37 getVehicleDescriptor()
            self=0.9 (0.1) us, cum=0.9 (0.1) us, calls=7                               ~:0 <built-in method time>()
            self=0.6 (0.6) us, cum=0.7 (0.7) us, calls=1                               scripts/common/gun_rotation_shared.py:29 calcGunPitchCorrection()
              self=0.6 (0.2) us, cum=0.6 (0.2) us, calls=3                               ~:0 <math.fabs>()
            self=0.3 (0.1) us, cum=0.3 (0.1) us, calls=2                               ~:0 <built-in method setRotateX>()
          self=4.3 (4.3) us, cum=6.2 (6.2) us, calls=1                               scripts/common/projectile_trajectory.py:80 getShotAngles()
            self=1.7 (1.7) us, cum=1.7 (1.7) us, calls=1                               ~:0 <built-in method getAimingAngles>()
            self=0.4 (0.2) us, cum=0.4 (0.2) us, calls=2                               scripts/common/items/vehicles.py:1035 <lambda>()
          self=2.0 (2.0) us, cum=5.1 (5.1) us, calls=1                               scripts/common/gun_rotation_shared.py:17 calcPitchLimitsFromDesc()
            self=3.1 (3.1) us, cum=3.1 (3.1) us, calls=1                               ~:0 <built-in method wg_calcGunPitchLimits>()
          self=3.3 (3.3) us, cum=4.1 (4.1) us, calls=1                               scripts/client/VehicleGunRotator.py:885 getNextGunPitch()
            self=2.1 (0.5) us, cum=2.8 (0.7) us, calls=4                               scripts/client/BattleReplay.py:241 <lambda>()
              self=0.7 (0.2) us, cum=0.7 (0.2) us, calls=4                               ~:0 <built-in method isPlaying>()
            self=0.6 (0.2) us, cum=0.6 (0.2) us, calls=3                               ~:0 <math.fabs>()
            self=0.2 (0.2) us, cum=0.2 (0.2) us, calls=1                               scripts/client/math_utils.py:48 <lambda>()
          self=1.6 (1.6) us, cum=2.3 (2.3) us, calls=1                               scripts/client/VehicleGunRotator.py:1212 __getTurretYawLimits()
            self=2.7 (0.9) us, cum=2.7 (0.9) us, calls=3                               scripts/client/VehicleGunRotator.py:1247 __getTurretStaticYaw()
          self=1.5 (1.5) us, cum=2.2 (2.2) us, calls=1                               scripts/client/VehicleGunRotator.py:1174 __getGunPitchLimits()
            self=1.4 (0.7) us, cum=1.4 (0.7) us, calls=2                               scripts/client/VehicleGunRotator.py:1208 __getGunStaticPitch()
          self=1.8 (1.8) us, cum=1.9 (1.9) us, calls=1                               src\responsive_reticle\hooks\vehicle_gun_rotator_hooks.py:352 __syncWithServerTurretYaw()
            self=0.9 (0.1) us, cum=0.9 (0.1) us, calls=7                               ~:0 <built-in method time>()
          self=1.2 (1.2) us, cum=1.3 (1.3) us, calls=1                               src\responsive_reticle\hooks\vehicle_gun_rotator_hooks.py:260 getOwnVehicleShotDispersionAngleForGunRotator()
            self=0.9 (0.1) us, cum=0.9 (0.1) us, calls=7                               ~:0 <built-in method time>()
          self=1.0 (0.2) us, cum=1.0 (0.2) us, calls=5                               src\responsive_reticle\hooks\avatar_hooks.py:37 getVehicleDescriptor()
          self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               src\responsive_reticle\hooks\vehicle_gun_rotator_hooks.py:373 getAvatarOwnVehicleStabilisedMatrix()
          self=0.3 (0.1) us, cum=0.3 (0.1) us, calls=3                               ~:0 <abs>()
        self=18.3 (18.3) us, cum=64.0 (64.0) us, calls=1                           src\responsive_reticle\hooks\vehicle_gun_rotator_hooks.py:399 __updateGunMarker()
          self=1.5 (1.5) us, cum=16.5 (16.5) us, calls=1                             scripts/client/VehicleGunRotator.py:412 getCurShotPosition()
            self=11.9 (11.9) us, cum=15.0 (15.0) us, calls=1                           scripts/client/VehicleGunRotator.py:940 __getShotPosition()
              self=1.5 (1.5) us, cum=1.5 (1.5) us, calls=1                               ~:0 <built-in method applyPoint>()
              self=1.0 (0.2) us, cum=1.0 (0.2) us, calls=5                               src\responsive_reticle\hooks\avatar_hooks.py:37 getVehicleDescriptor()
              self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               src\responsive_reticle\hooks\vehicle_gun_rotator_hooks.py:373 getAvatarOwnVehicleStabilisedMatrix()
              self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               ~:0 <built-in method postMultiply>()
              self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               ~:0 <built-in method setRotateY>()
              self=0.4 (0.2) us, cum=0.4 (0.2) us, calls=2                               scripts/common/items/vehicles.py:1035 <lambda>()
              self=0.3 (0.1) us, cum=0.3 (0.1) us, calls=2                               ~:0 <built-in method setRotateX>()
              self=0.3 (0.3) us, cum=0.3 (0.3) us, calls=1                               ~:0 <built-in method applyVector>()
          self=2.5 (2.5) us, cum=12.5 (12.5) us, calls=1                             scripts/client/AvatarInputHandler/gun_marker_ctrl.py:809 setPosition()
