vanilla aim at enemy

measurement without profiler: 730 us
profiler overhead: 155 us

self=2.1 (2.1) us, cum=904.2 (904.2) us, calls=1                           src\mod_wot_profiler.py:78 profilerCall()
  self=15.8 (15.8) us, cum=902.1 (902.1) us, calls=1                         scripts/client/VehicleGunRotator.py:507 __onTick()
    self=3.5 (3.5) us, cum=769.6 (769.6) us, calls=1                           scripts/client/VehicleGunRotator.py:503 updateRotationAndGunMarker()
      self=15.6 (15.6) us, cum=544.3 (544.3) us, calls=1                         scripts/client/VehicleGunRotator.py:710 __updateGunMarker()
        self=2.0 (2.0) us, cum=395.0 (395.0) us, calls=1                           scripts/client/AvatarInputHandler/__init__.py:640 updateClientGunMarker()
          self=2.6 (2.6) us, cum=393.0 (393.0) us, calls=1                           scripts/client/AvatarInputHandler/control_modes.py:284 updateGunMarker()
            self=8.2 (8.2) us, cum=390.4 (390.4) us, calls=1                           scripts/client/AvatarInputHandler/gun_marker_ctrl.py:829 update()
              self=1.1 (1.1) us, cum=335.8 (335.8) us, calls=1                           scripts/client/AvatarInputHandler/aih_global_binding.py:152 __set__()
                self=4.3 (4.3) us, cum=334.7 (334.7) us, calls=1                           scripts/client/AvatarInputHandler/aih_global_binding.py:93 change()
                  self=1.1 (1.1) us, cum=329.0 (329.0) us, calls=1                           scripts/client/gui/battle_control/controllers/crosshair_proxy.py:409 __onClientGunMarkerStateChanged()
                    self=3.6 (3.6) us, cum=327.9 (327.9) us, calls=1                           scripts/client/gui/battle_control/controllers/crosshair_proxy.py:383 __setGunMarkerState()
                      self=3.6 (3.6) us, cum=324.3 (324.3) us, calls=1                           scripts/common/Event.py:40 __call__()
                        self=10.0 (10.0) us, cum=161.9 (161.9) us, calls=1                         scripts/client/gui/armor_flashlight/battle_controller.py:180 _updateVisibilityState()
                          self=24.7 (24.7) us, cum=121.3 (121.3) us, calls=1                         scripts/client/gui/armor_flashlight/battle_controller.py:218 _setShootingParams()
                            self=11.0 (11.0) us, cum=58.1 (58.1) us, calls=1                           scripts/client/VehicleGunRotator.py:372 getShotParams()
                              self=23.2 (11.6) us, cum=50.8 (25.4) us, calls=2                           scripts/client/VehicleGunRotator.py:940 __getShotPosition()
                                self=11.3 (3.8) us, cum=32.5 (10.8) us, calls=3                            scripts/client/VehicleGunRotator.py:1134 getAvatarOwnVehicleStabilisedMatrix()
                                  self=28.3 (2.8) us, cum=28.3 (2.8) us, calls=10                            scripts/client/avatar_components/AvatarObserver.py:214 getVehicleAttached()
                                  self=6.9 (1.4) us, cum=18.1 (3.6) us, calls=5                              scripts/client/Avatar.py:3342 getOwnVehicleStabilisedMatrix()
                                    self=4.8 (1.0) us, cum=11.2 (2.2) us, calls=5                              scripts/client/avatar_components/AvatarObserver.py:180 getObservedVehicleStabilisedMatrix()
                                      self=16.5 (1.1) us, cum=16.5 (1.1) us, calls=15                            scripts/client/Avatar.py:2726 isObserver()
                                      self=2.3 (0.1) us, cum=2.3 (0.1) us, calls=19                              ~:0 <built-in method player>()
                                  self=5.3 (0.9) us, cum=5.3 (0.9) us, calls=6                               scripts/client/VehicleGunRotator.py:1247 __getTurretStaticYaw()
                                self=10.2 (1.5) us, cum=17.6 (2.5) us, calls=7                             scripts/client/Avatar.py:3509 getVehicleDescriptor()
                                  self=16.5 (1.1) us, cum=16.5 (1.1) us, calls=15                            scripts/client/Avatar.py:2726 isObserver()
                                self=1.7 (0.8) us, cum=1.7 (0.8) us, calls=2                               ~:0 <built-in method applyPoint>()
                                self=1.4 (0.7) us, cum=1.4 (0.7) us, calls=2                               ~:0 <built-in method applyVector>()
                                self=1.1 (0.4) us, cum=1.1 (0.4) us, calls=3                               ~:0 <built-in method setRotateY>()
                                self=1.0 (0.2) us, cum=1.0 (0.2) us, calls=4                               ~:0 <built-in method postMultiply>()
                                self=0.6 (0.2) us, cum=0.6 (0.2) us, calls=3                               ~:0 <built-in method setRotateX>()
                                self=0.6 (0.1) us, cum=0.6 (0.1) us, calls=4                               scripts/common/items/vehicles.py:1035 <lambda>()
                              self=28.3 (2.8) us, cum=28.3 (2.8) us, calls=10                            scripts/client/avatar_components/AvatarObserver.py:214 getVehicleAttached()
                              self=6.9 (1.4) us, cum=18.1 (3.6) us, calls=5                              scripts/client/Avatar.py:3342 getOwnVehicleStabilisedMatrix()
                                self=4.8 (1.0) us, cum=11.2 (2.2) us, calls=5                              scripts/client/avatar_components/AvatarObserver.py:180 getObservedVehicleStabilisedMatrix()
                                  self=16.5 (1.1) us, cum=16.5 (1.1) us, calls=15                            scripts/client/Avatar.py:2726 isObserver()
                                  self=2.3 (0.1) us, cum=2.3 (0.1) us, calls=19                              ~:0 <built-in method player>()
                              self=6.9 (3.5) us, cum=10.2 (5.1) us, calls=2                              scripts/common/projectile_trajectory.py:80 getShotAngles()
                                self=2.9 (1.4) us, cum=2.9 (1.4) us, calls=2                               ~:0 <built-in method getAimingAngles>()
                                self=0.6 (0.1) us, cum=0.6 (0.1) us, calls=4                               scripts/common/items/vehicles.py:1035 <lambda>()
                              self=2.1 (1.0) us, cum=8.5 (4.2) us, calls=2                               scripts/common/gun_rotation_shared.py:17 calcPitchLimitsFromDesc()
                                self=6.4 (3.2) us, cum=6.4 (3.2) us, calls=2                               ~:0 <built-in method wg_calcGunPitchLimits>()
                              self=3.5 (1.8) us, cum=6.2 (3.1) us, calls=2                               scripts/client/VehicleGunRotator.py:1212 __getTurretYawLimits()
                                self=5.3 (0.9) us, cum=5.3 (0.9) us, calls=6                               scripts/client/VehicleGunRotator.py:1247 __getTurretStaticYaw()
                              self=4.5 (2.2) us, cum=4.9 (2.4) us, calls=2                               scripts/client/VehicleGunRotator.py:828 __isOutOfLimits()
                                self=0.8 (0.3) us, cum=0.8 (0.3) us, calls=3                               ~:0 <math.fmod>()
                                self=0.5 (0.1) us, cum=0.5 (0.1) us, calls=7                               ~:0 <abs>()
                              self=3.4 (1.7) us, cum=4.8 (2.4) us, calls=2                               scripts/client/VehicleGunRotator.py:1174 __getGunPitchLimits()
                                self=2.6 (0.6) us, cum=2.6 (0.6) us, calls=4                               scripts/client/VehicleGunRotator.py:1208 __getGunStaticPitch()
                            self=13.6 (6.8) us, cum=29.7 (14.8) us, calls=2                            scripts/client/AvatarInputHandler/gun_marker_ctrl.py:55 computePiercingPowerAtDist()
                              self=4.0 (2.0) us, cum=9.7 (4.9) us, calls=2                               scripts/client/gui/battle_control/arena_visitor.py:517 getConstantsModification()
                                self=3.1 (1.6) us, cum=5.7 (2.8) us, calls=2                               battle_modifiers/scripts/common/battle_modifiers_ext/battle_modifiers.py:437 getConstantsModification()
                                  self=1.9 (0.9) us, cum=2.6 (1.3) us, calls=2                               battle_modifiers/scripts/common/battle_modifiers_ext/modification_cache/constants_modifications.py:52 get()
                                    self=0.7 (0.3) us, cum=0.7 (0.3) us, calls=2                               battle_modifiers/scripts/common/battle_modifiers_ext/battle_modifiers.py:354 __bool__()
                              self=1.5 (0.8) us, cum=3.2 (1.6) us, calls=2                               scripts/client/helpers/dependency.py:97 instance()
                                self=4.7 (1.2) us, cum=6.2 (1.6) us, calls=4                               scripts/client/helpers/dependency.py:171 getService()
                                  self=1.5 (0.4) us, cum=1.5 (0.4) us, calls=4                               scripts/client/helpers/dependency.py:312 value()
                              self=1.7 (0.8) us, cum=1.7 (0.8) us, calls=2                               scripts/client/gui/battle_control/battle_session.py:87 arenaVisitor()
                              self=1.5 (0.8) us, cum=1.5 (0.8) us, calls=2                               scripts/client/gui/battle_control/arena_visitor.py:588 modifiers()
                            self=6.3 (3.1) us, cum=24.2 (12.1) us, calls=2                             scripts/client/Avatar.py:3317 getOwnVehiclePosition()
