vanilla aim at terrain

measurement without profiler: 450 us
profiler overhead: 150 us

self=1.7 (1.7) us, cum=579.9 (579.9) us, calls=1                           src\mod_wot_profiler.py:78 profilerCall()
  self=18.6 (18.6) us, cum=578.2 (578.2) us, calls=1                         scripts/client/VehicleGunRotator.py:507 __onTick()
    self=3.2 (3.2) us, cum=464.3 (464.3) us, calls=1                           scripts/client/VehicleGunRotator.py:503 updateRotationAndGunMarker()
      self=19.4 (19.4) us, cum=239.4 (239.4) us, calls=1                         scripts/client/VehicleGunRotator.py:633 __rotate()
        self=31.9 (31.9) us, cum=116.4 (116.4) us, calls=1                         scripts/client/Avatar.py:3411 getOwnVehicleShotDispersionAngle()
          self=8.0 (4.0) us, cum=25.5 (12.8) us, calls=2                             scripts/client/vehicles/mechanics/mechanic_helpers.py:52 getPlayerVehicleMechanicComponent()
            self=20.7 (2.6) us, cum=20.7 (2.6) us, calls=8                             scripts/client/avatar_components/AvatarObserver.py:214 getVehicleAttached()
            self=6.0 (1.5) us, cum=15.3 (3.8) us, calls=4                              scripts/client/vehicles/mechanics/mechanic_helpers.py:60 findVehicleMechanicDynamicComponent()
              self=1.8 (0.4) us, cum=5.4 (1.4) us, calls=4                               scripts/client/vehicles/mechanics/mechanic_helpers.py:26 isVehicleMechanicComponent()
                self=1.7 (0.4) us, cum=3.6 (0.9) us, calls=4                               scripts/client/vehicles/mechanics/mechanic_helpers.py:21 isValidMechanicComponent()
                  self=2.0 (0.4) us, cum=2.0 (0.4) us, calls=5                               ~:0 <isinstance>()
              self=2.8 (0.7) us, cum=3.3 (0.8) us, calls=4                               scripts/common/site-packages/enum34-1.1.10/enum/__init__.py:760 __hash__()
                self=0.5 (0.1) us, cum=0.5 (0.1) us, calls=4                               ~:0 <hash>()
              self=1.9 (0.4) us, cum=1.9 (0.4) us, calls=5                               ~:0 <method 'get' of 'dict' objects>()
            self=2.5 (1.2) us, cum=2.5 (1.2) us, calls=2                               scripts/client/Vehicle.py:1425 isAlive()
            self=1.5 (0.1) us, cum=1.5 (0.1) us, calls=13                              ~:0 <built-in method player>()
          self=14.6 (14.6) us, cum=21.9 (21.9) us, calls=1                           scripts/client/Avatar.py:3354 getOwnVehicleSpeeds()
            self=8.8 (1.1) us, cum=8.8 (1.1) us, calls=8                               scripts/client/Avatar.py:2726 isObserver()
            self=4.0 (4.0) us, cum=4.0 (4.0) us, calls=1                               scripts/client/Vehicle.py:104 value()
            self=1.7 (0.8) us, cum=1.7 (0.8) us, calls=2                               ~:0 <built-in method entity>()
            self=1.5 (0.1) us, cum=1.5 (0.1) us, calls=13                              ~:0 <built-in method player>()
            self=1.2 (1.2) us, cum=1.2 (1.2) us, calls=1                               scripts/client/Vehicle.py:173 speedInfo()
          self=7.8 (7.8) us, cum=13.7 (13.7) us, calls=1                             scripts/client/Avatar.py:4528 __getDetailedVehicleDescriptor()
            self=20.7 (2.6) us, cum=20.7 (2.6) us, calls=8                             scripts/client/avatar_components/AvatarObserver.py:214 getVehicleAttached()
            self=1.9 (0.4) us, cum=1.9 (0.4) us, calls=5                               ~:0 <method 'get' of 'dict' objects>()
            self=1.0 (1.0) us, cum=1.0 (1.0) us, calls=1                               scripts/client_common/ClientArena.py:316 <lambda>()
            self=0.5 (0.5) us, cum=0.5 (0.5) us, calls=1                               scripts/common/items/vehicles.py:1039 <lambda>()
          self=3.0 (3.0) us, cum=7.0 (7.0) us, calls=1                               scripts/client/helpers/dependency.py:290 __get__()
            self=3.0 (3.0) us, cum=4.0 (4.0) us, calls=1                               scripts/client/helpers/dependency.py:171 getService()
              self=1.0 (1.0) us, cum=1.0 (1.0) us, calls=1                               scripts/client/helpers/dependency.py:312 value()
          self=3.3 (3.3) us, cum=5.6 (5.6) us, calls=1                               scripts/client/gui/battle_control/controllers/aiming_sounds_ctrl.py:25 updateDispersion()
